"id","name","price","original_price","rating","filtration_capacity"
871,"Aqua Fresh CRYSTAL WHITE B LED+COPPER+RO+UV+TDS ELECTRICAL BOREWELL WATER PURIFIER 12 L RO + UV + Copp...","4,099","16,999","4.1","Filtration Capacity: 12 L/hr"
872,"AquaDpure RO Water Purifier with Goodness of Copper Black 12 L RO + UV + UF + TDS Water Purifier","4,889","15,999","3.9","Filtration Capacity: 12 L/hr"
873,"AquaDart Premium Copper RO Water Purifier With Japanese UV Lamp And High 3000 TDS Membrane 12 L RO + U...","4,999","19,999","4","1 Year Warranty On All Electric Parts I.e Booster Pump & SMPS "
874,"Aqua Fresh Swift GOLD MINERAL+RO+UV+UF+TDS 15 L 15 L RO + UV + UF + TDS Water Purifier","4,799","12,999","4.1","Filtration Capacity: 12 L/hr"
875,"AQUA Mineral Ro Copper Audi Black 12 L RO + UV + UF + TDS + Copper Water Purifier","3,989","17,500","4.5","Filtration Capacity: 12 L/hr"
876,"Aquagrand Storm LED Indicator With Alkaline Vitamin B12 Filter 12 L RO + UV + UF + TDS + Alkaline Wate...","3,999","15,000","4","Filtration Capacity: 12 L/hr"
877,"HAVELLS UTC Alkaline 8 L RO + UV + Alkaline Water Purifier","18,499","22,999","4.1","1 Year Warranty"
878,"AquaDpure AquaX Bio Alkaline with Active Copper RO Water Purifier with Fully Automatic 12 L RO + UV + ...","4,843","15,999","4.2","Filtration Capacity: 12 L/hr"
879,"Aqua Fresh swift Mineral+ro+uv+uf+tds 15 L 15 L RO + UV + UF + TDS Water Purifier","5,099","12,999","3.8","Filtration Capacity: 12 L/hr"
880,"Aquafresh NYC WH COPPER+ALKALINE+RO+UV+TDS 15 L WHITE AUTOMATIC ELECTRICAL BOREWELL 1500 TDS BEST HOME...","5,299","13,999","3.8","Filtration Capacity: 12 L/hr"
881,"Keel EPIC 12 L RO + UV + UF + TDS Water Purifier","4,299","16,500",NULL,"Filtration Capacity: 12 L/hr"
882,"Aqua Fresh OMEGO BLACK CP LED COPPER+RO+UV+UF+TDS+MINERAL 10 L electric water purifier 10 L RO + UV + ...","5,999","19,999","3.5","Filtration Capacity: 12 L/hr"
883,"nexus pure OPEL18 COPPER + ALKALINE 18 L RO + UV + UF + TDS Water Purifier","5,129","17,479","4","Filtration Capacity: 20 L/hr"
884,"SAMTA Ro+Uv+Uf+Tds Adjuster Mineral 18 L RO + UV + UF + MTDS Water Purifier","5,989","19,990","4.5","Filtration Capacity: 15 L/hr"
885,"Blair ALFA COPPER BLACK 12 L RO + UV + UF + TDS Water Purifier","4,456","19,990","3.9","Filtration Capacity: 15 L/hr"
886,"Aqua Fresh Titanium Golden 2 Years Warranty India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV ...","6,299","16,500","3.6","Filtration Capacity: 15 L/hr"
887,"Royal Aquafresh Epic RAF Model 15 L RO + UV + UF + TDS Water Purifier with Prefilter","3,899","16,500","4.1","s address within maximum 4-6 days(working hours) "
888,"E.F.M Alpha Black Transparent Water Purifier Luxury Domestic RO System 12 L RO + UV + UF + TDS + Alkal...","4,785","13,999","4","Filtration Capacity: 15 L/hr"
889,"Aqua Fresh Copper audi 12 ltr +water filter 12 L RO + UV + UF + TDS Water Purifier with Prefilter","3,999","16,500","3.8","Filtration Capacity: 12 L/hr"
890,"KENT Grand Plus 9 L RO + UV + UF + TDS Control + UV in Tank Water Purifier","18,940","20,000","5","1 Year Warranty + 3 Years free service"
891,"Aqua Fresh NYC blue mineral 15 L RO + UV + UF + TDS Water Purifier","4,999","13,999","3.9","Filtration Capacity: 12 L/hr"
892,"Aquagrand NYC Model with ALKALINE B12 FILTER 12 L RO + UF + TDS Water Purifier","3,899","14,500","4.1","Filtration Capacity: 12 L/hr"
893,"g.s. aquafresh CRUZ BLACK +RO+UF+UV+TDS CONTROLLER+CONCELLED MEMBRANE 12 L RO + UV + UF + Copper + TDS...","3,959","13,999","4.2","6 MONTH OFFSITE WARRANTY ON PUMP & SMPS"
894,"pure master QUBETB 11 L RO + UV + UF + TDS Water Purifier","5,199","14,999","5","Filtration Capacity: 15 L/hr"
895,"Aqua Fresh audi RED ro uv uf tds mineral 12 L 12 L RO + UV + UF + TDS Water Purifier","4,549","13,999","3.7","Filtration Capacity: 12 L/hr"
896,"Grand plus EPIC 12 L RO + UV + UF + TDS Water Purifier with Prefilter","3,799","16,500","3.7","Filtration Capacity: 1 L/hr"
897,"Kaveri AquaFresh Kris Black Model With Alkaline Filter 12 L RO + UV + UF + TDS + Alkaline Water Purifi...","3,919","17,000","4.2","Filtration Capacity: 12 L/hr"
898,"Aqua Fresh Opel Fullbody 13 L RO + UV + UF + TDS Water Purifier","3,999","14,000","4.2",NULL
899,"AquaDpure Aqua Copper Infuser Technology, 8 Stage Purification 12 L RO + UV + UF + TDS + Copper Water ...","4,949","18,999","4.1","Filtration Capacity: 12 L/hr"
900,"COMPTY Vitara 15 L RO + UV + UF + ATDS Water Purifier","3,799","14,999","5","Filtration Capacity: 12 L/hr"
901,"Aqua Fresh White camary 12 Ltrs + copper filter 12 L RO + UV + UF + Copper + TDS Control Water Purifie...","3,999","16,500","4.1","Filtration Capacity: 20 L/hr"
902,"Aqua Fresh NYC ALKALINE white ro+uv+uf+tds+ALKALINE 15 L 15 L RO + UV + UF + TDS Water Purifier","4,939","13,999","3.6","OFFSITE WARRANTY 0n ELECTRONIC PARTS"
903,"AquaDpure Copper + Alkaline RO Water Purifier Suitable for all type water supply 12 L RO + UV + UF + C...","4,939","24,599","4","Filtration Capacity: 12 L/hr"
904,"AquaDpure Water Purifier with Aqua Copper Infuser Technology(H13 Enclosed Copper RO) 12 L RO + UV + UF...","4,749","24,999","4.1","Filtration Capacity: 12 L/hr"
905,"AQUA UNIQUE & ELEGANT 2090 Model Advance Technology With LED 10 L RO + UV + UF + TDS Water Purifier","5,015","15,500","4","Filtration Capacity: 15 L/hr"
906,"Aqua Fresh blue mineral RO+UV+UF+TDS 15 L 15 L RO + UV + UF + TDS Water Purifier","4,499","13,999","3.6","Filtration Capacity: 12 L/hr"
907,"Aquatec Plus Advance plus 12 L RO + UV + UF + TDS Water Purifier","7,163","15,999","4.3","Filtration Capacity: 15 L/hr"
908,"KENT PEARL(11002) 8 L RO + UV + UF Water Purifier","17,400","20,000","4.4","1 Year Warranty + 3 Years free service"
909,"Keel Mini opel 12 L RO + UV + CU Guard + Alkaline Enhancer + Mineral Water Purifier","4,099","16,500",NULL,"Filtration Capacity: 12 L/hr"
910,"pure master Qube 11 L RO + UV + UF + TDS + Alkaline Water Purifier","5,899","14,999","5","Filtration Capacity: 15 L/hr"
911,"ONE RO 25 LPH Commercial Water Purifier Plant Double Purification Stainless Steel With TDS Adjuster 25...","6,499","24,999","4.3","1 Year Warrenty On All Electric Parts I.e Booster Pump & SMPS "
912,"Blair GLORY (BLACK) HIGH TDS RO+UV+UF+TDS +COPPER+ALKALINE 14 L RO + UV + UF + TDS Control + Alkaline ...","5,584","19,999","4.3","Filtration Capacity: 17 L/hr"
913,"Aqua Fresh White Opel Needs no service for 3 years Unconditional Warranty 18 L RO + UV + CU Guard + Al...","8,999","16,500",NULL,"Filtration Capacity: 18 L/hr"
914,"Aqua Fresh VENTEX B CR COPPER+ALK+RO+UV+TDS AUTOMATIC ELECTRICAL BOREWELL WATER PURIFIER 12 L RO + UV ...","3,999","15,999","3.7","Filtration Capacity: 12 L/hr"
915,"AquaDpure 25 LPH Commercial UV + RO Water Purifier Plant 25 Liter Per-hour Stainless Steel With Autosh...","6,868","19,999","4.1","Filtration Capacity: 25 L/hr"
916,"Always Steelguard RO with Stainless Steel Tank with LED display and Pre filter 10 stage 7 L RO + UV + ...","7,649","24,999","4.2","Filtration Capacity: 15 L/hr"
917,"KENT WONDER (11033) 7 L RO + UF Water Purifier","18,000",NULL,"4.3","1 Year Warranty + 3 Years free service"
918,"BePURE Alken Pro Stainless Steel Tank 9 L RO + UV + UF + TDS + ALK + Copper Water Purifier","11,999","24,999","4.2","Warranty on all electrical components"
919,"Oseas aqua Aqua plus 15L Ro+ Uv+ Uf+ Alkaline Technology Water Purifier 15 L RO + UV + UF + TDS Water ...","5,900","13,999","3.7","Filtration Capacity: 10 L/hr"
920,"nexus pure PLUTO 4 COPPER 12 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier","5,158","17,999","4.1","Filtration Capacity: 20 L/hr"
921,"trypkon JAZZ 2 COPPER 10 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier","4,999","17,421","5","Filtration Capacity: 20 L/hr"
922,"AquaDpure Fully Automatic 12 L RO + UV + UF + TDS Water Purifier","4,949","24,999","3.7","Filtration Capacity: 12 L/hr"
923,"Grand plus Blue Swift 12 L RO + UV + UF + TDS Water Purifier","3,999","16,500","3.8","Filtration Capacity: 10 L/hr"
924,"AquaDpure Active Copper RO Water Purifier |12 L |Purified Water with Goodness of Copper 12 L RO + UV +...","4,936","15,999","4","Filtration Capacity: 12 L/hr"
925,"Aqua Fresh ALFA ROYAL black COPPER RO UV TDS ELECTRICAL WATER PURIFIER12L 12 L RO + UV + UF + TDS Wate...","4,497","13,999","4","Filtration Capacity: 12 L/hr"
926,"HAVELLS Max 8 L RO + UV Water Purifier","14,990","18,918","4.3","1 year"
927,"AquaDpure Copper + Alkaline RO 12 L RO + UV + UF + TDS Water Purifier","4,900","24,999","4","Filtration Capacity: 12 L/hr"
928,"trypkon OPEL 18 COPPER 18 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier","3,999","17,479","4.3","Filtration Capacity: 20 L/hr"
929,"Royal Aquafresh NEW EPIC 15 L RO + UV + UF + TDS Water Purifier","3,799","16,500","4.4","Filtration Capacity: 15 L/hr"
930,"AquaDpure RO+UV+UF+TDS Water Purifier with Mineral Cartridge Filter 12 L RO + UV + UF + TDS Water Puri...","4,949","14,999","4.1","Filtration Capacity: 12 L/hr"
931,"ojhashree 25 LPH RO WATER PURIFIER FOR COMMERCAL AND DOMISTIC USE 25 L RO + UV Water Purifier","5,975","16,990","5","Filtration Capacity: 22 L/hr"
